atp_id,flow_file,feature,description
COL_01,COL_01 - Create collage matching photos and layout.yaml,Collage,Create collage matching photos and layout
COL_02,COL_02 - Create collage empty space toast.yaml,Collage,Create collage empty space toast
COL_03,COL_03 - Edit collage border.yaml,Collage,Edit collage border
COL_04,COL_04 - Edit collage mirror.yaml,Collage,Edit collage mirror
COL_05,COL_05 - Edit collage flip.yaml,Collage,Edit collage flip
COL_06,COL_06 - Edit collage replace.yaml,Collage,Edit collage replace
COL_07,COL_07 - Edit collage rotate.yaml,Collage,Edit collage rotate
COL_08,COL_08 - Open photo then collage.yaml,Collage,Open photo collage
COL_09,COL_09 - Open photo collage and save.yaml,Collage,Open photo collage save
